658553, EECO09, 2024-01-24 15:08:54, 03EGTBW005, None
658554, EECO10, 2024-01-24 15:08:54, 03EGTBW005, None
658555, EECO11, 2024-01-24 15:08:54, 03EGTBW005, None
658556, EECO12, 2024-01-24 15:08:54, 03EGTBW005, None
658557, EECO13, 2024-01-24 15:08:54, 03EGTBW005, None
658558, EECO14, 2024-01-24 15:08:54, 03EGTBW005, None
658559, PO1a1, 2024-01-24 15:08:54, 03EGTBW005, None
658560, EECO01, 2024-01-24 15:08:55, 03EGTBW010, None
658561, EECO02, 2024-01-24 15:08:55, 03EGTBW010, None
658562, EECO03, 2024-01-24 15:08:55, 03EGTBW010, None
658563, EECO04, 2024-01-24 15:08:55, 03EGTBW010, None
658564, EECO05, 2024-01-24 15:08:55, 03EGTBW010, None
658565, EECO06, 2024-01-24 15:08:55, 03EGTBW010, None
658566, EECO07, 2024-01-24 15:08:55, 03EGTBW010, None
658567, EECO08, 2024-01-24 15:08:55, 03EGTBW010, None
658568, EECO09, 2024-01-24 15:08:55, 03EGTBW010, None
658569, EECO10, 2024-01-24 15:08:55, 03EGTBW010, None
658570, EECO11, 2024-01-24 15:08:55, 03EGTBW010, None
658571, EECO12, 2024-01-24 15:08:55, 03EGTBW010, None
658572, EECO13, 2024-01-24 15:08:55, 03EGTBW010, None
658573, EECO14, 2024-01-24 15:08:55, 03EGTBW010, None
658574, PO1a1, 2024-01-24 15:08:55, 03EGTBW010, None
658575, EECO01, 2024-01-24 15:08:56, 03EGTBW013, None
658576, EECO02, 2024-01-24 15:08:56, 03EGTBW013, None
658577, EECO03, 2024-01-24 15:08:56, 03EGTBW013, None
658578, EECO04, 2024-01-24 15:08:56, 03EGTBW013, None
658579, EECO05, 2024-01-24 15:08:56, 03EGTBW013, None
658580, EECO06, 2024-01-24 15:08:56, 03EGTBW013, None
658581, EECO07, 2024-01-24 15:08:56, 03EGTBW013, None
658582, EECO08, 2024-01-24 15:08:56, 03EGTBW013, None
658583, EECO09, 2024-01-24 15:08:56, 03EGTBW013, None
658584, EECO10, 2024-01-24 15:08:56, 03EGTBW013, None
658585, EECO11, 2024-01-24 15:08:56, 03EGTBW013, None
658586, EECO12, 2024-01-24 15:08:56, 03EGTBW013, None
658587, EECO13, 2024-01-24 15:08:56, 03EGTBW013, None
658588, EECO14, 2024-01-24 15:08:56, 03EGTBW013, None
658589, PO1a1, 2024-01-24 15:08:56, 03EGTBW013, None
658590, EECO01, 2024-01-24 15:08:57, 03EGTBW016, None
658591, EECO02, 2024-01-24 15:08:57, 03EGTBW016, None
658592, EECO03, 2024-01-24 15:08:57, 03EGTBW016, None
658593, EECO04, 2024-01-24 15:08:57, 03EGTBW016, None
658594, EECO05, 2024-01-24 15:08:57, 03EGTBW016, None
658595, EECO06, 2024-01-24 15:08:57, 03EGTBW016, None
658596, EECO07, 2024-01-24 15:08:57, 03EGTBW016, None
658597, EECO08, 2024-01-24 15:08:57, 03EGTBW016, None
658598, EECO09, 2024-01-24 15:08:57, 03EGTBW016, None
658599, EECO10, 2024-01-24 15:08:57, 03EGTBW016, None
658600, EECO11, 2024-01-24 15:08:57, 03EGTBW016, None
658601, EECO12, 2024-01-24 15:08:57, 03EGTBW016, None
658602, EECO13, 2024-01-24 15:08:57, 03EGTBW016, None
658603, EECO14, 2024-01-24 15:08:57, 03EGTBW016, None
658604, PO1a1, 2024-01-24 15:08:57, 03EGTBW016, None
658605, EECO01, 2024-01-24 15:08:57, 03EGTBW017, None
658606, EECO02, 2024-01-24 15:08:57, 03EGTBW017, None
658607, EECO03, 2024-01-24 15:08:57, 03EGTBW017, None
658608, EECO04, 2024-01-24 15:08:57, 03EGTBW017, None
658609, EECO05, 2024-01-24 15:08:57, 03EGTBW017, None
658610, EECO06, 2024-01-24 15:08:57, 03EGTBW017, None
658611, EECO07, 2024-01-24 15:08:57, 03EGTBW017, None
658612, EECO08, 2024-01-24 15:08:57, 03EGTBW017, None
658613, EECO09, 2024-01-24 15:08:57, 03EGTBW017, None
658614, EECO10, 2024-01-24 15:08:57, 03EGTBW017, None
658615, EECO11, 2024-01-24 15:08:57, 03EGTBW017, None
658616, EECO12, 2024-01-24 15:08:57, 03EGTBW017, None
658617, EECO13, 2024-01-24 15:08:57, 03EGTBW017, None
658618, EECO14, 2024-01-24 15:08:57, 03EGTBW017, None
658619, PO1a1, 2024-01-24 15:08:57, 03EGTBW017, None
658620, EECO01, 2024-01-24 15:08:58, 03EGTBW031, None
658621, EECO02, 2024-01-24 15:08:58, 03EGTBW031, None
658622, EECO03, 2024-01-24 15:08:58, 03EGTBW031, None
658623, EECO04, 2024-01-24 15:08:58, 03EGTBW031, None
