33784, EECO10, YES, 03EGTNW036, 2024-01-24 15:09:43, 126455, 2023, 0
33782, EECO10, YES, 03EGTNW036, 2024-01-24 15:09:43, 126456, 2023, 0
33783, EECO11, YES, 03EGTNW036, 2024-01-24 15:09:43, 126457, 2023, 1
33784, EECO11, YES, 03EGTNW036, 2024-01-24 15:09:43, 126458, 2023, 1
33782, EECO11, YES, 03EGTNW036, 2024-01-24 15:09:43, 126459, 2023, 1
33783, EECO02, YES, 03EGTNW036, 2024-01-24 15:09:43, 126460, 2023, 0
33784, EECO02, YES, 03EGTNW036, 2024-01-24 15:09:43, 126461, 2023, 0
33782, EECO02, YES, 03EGTNW036, 2024-01-24 15:09:43, 126462, 2023, 0
33783, EECO04, YES, 03EGTNW036, 2024-01-24 15:09:43, 126463, 2023, 0
33784, EECO04, YES, 03EGTNW036, 2024-01-24 15:09:43, 126464, 2023, 0
33782, EECO04, YES, 03EGTNW036, 2024-01-24 15:09:43, 126465, 2023, 0
33783, EECO05, YES, 03EGTNW036, 2024-01-24 15:09:43, 126466, 2023, 1
33784, EECO05, YES, 03EGTNW036, 2024-01-24 15:09:43, 126467, 2023, 1
33782, EECO05, YES, 03EGTNW036, 2024-01-24 15:09:43, 126468, 2023, 1
33955, EECO01, YES, 03EGTNW037, 2024-01-24 15:09:43, 126469, 2023, 1
33957, EECO01, YES, 03EGTNW037, 2024-01-24 15:09:43, 126470, 2023, 1
33956, EECO01, YES, 03EGTNW037, 2024-01-24 15:09:43, 126471, 2023, 1
33955, EECO03, YES, 03EGTNW037, 2024-01-24 15:09:43, 126472, 2023, 0
33957, EECO03, YES, 03EGTNW037, 2024-01-24 15:09:43, 126473, 2023, 0
33956, EECO03, YES, 03EGTNW037, 2024-01-24 15:09:43, 126474, 2023, 0
33955, EECO06, YES, 03EGTNW037, 2024-01-24 15:09:43, 126475, 2023, 0
33957, EECO06, YES, 03EGTNW037, 2024-01-24 15:09:43, 126476, 2023, 0
33956, EECO06, YES, 03EGTNW037, 2024-01-24 15:09:43, 126477, 2023, 0
33955, EECO07, YES, 03EGTNW037, 2024-01-24 15:09:43, 126478, 2023, 1
33957, EECO07, YES, 03EGTNW037, 2024-01-24 15:09:43, 126479, 2023, 1
33956, EECO07, YES, 03EGTNW037, 2024-01-24 15:09:43, 126480, 2023, 1
33955, EECO08, YES, 03EGTNW037, 2024-01-24 15:09:43, 126481, 2023, 0
33957, EECO08, YES, 03EGTNW037, 2024-01-24 15:09:43, 126482, 2023, 0
33956, EECO08, YES, 03EGTNW037, 2024-01-24 15:09:43, 126483, 2023, 0
33955, EECO12, YES, 03EGTNW037, 2024-01-24 15:09:43, 126484, 2023, 0
33957, EECO12, YES, 03EGTNW037, 2024-01-24 15:09:43, 126485, 2023, 0
33956, EECO12, YES, 03EGTNW037, 2024-01-24 15:09:43, 126486, 2023, 0
33955, EECO13, YES, 03EGTNW037, 2024-01-24 15:09:43, 126487, 2023, 0
33957, EECO13, YES, 03EGTNW037, 2024-01-24 15:09:43, 126488, 2023, 0
33956, EECO13, YES, 03EGTNW037, 2024-01-24 15:09:43, 126489, 2023, 0
